   state,    year,  income, taxsngl,  taxjnt,  taxfam,   tax65,mtr_wage, mtr_int,mtr_amt , mtr_lcg,mtr_gift, mtr_fed, mtr_ptx,mtr_pt65,abrev 
1,1977,1,94.37,12.17,0,102.84,0,0,0,0,0,0,0,0,al
1,1978,1,103.29,20.41,0,111.43,0,0,0,0,0,0,0,0,al
1,1979,1,116.03,29.41,9.04,125.56,1.5,1.5,0.6,0,-1.5,0,0,0,al
1,1980,1,126.3,45.67,19.72,135.41,1.5,1.5,0.6,0,-1.5,0,0,0,al
1,1981,1,136.09,65.36,31.2,145.9,3,3,1.2,0,-3,0,0,0,al
1,1982,1,174.68,69.83,31.34,184.79,1.6,1.6,0.64,0,0,0,0,0,al
1,1983,1,179.4,77.86,38.03,188.74,3.2,3.2,1.28,0,0,0,0,0,al
1,1984,1,183.65,84.89,47.73,194.39,3.2,3.2,1.28,0,0,0,0,0,al
1,1985,1,190.49,92.76,56.18,201.15,3.2,3.2,1.28,0,0,0,0,0,al
1,1986,1,189.55,98.7,61.43,200.05,3.2,3.2,1.28,0,0,0,0,-5,al
1,1987,1,198.95,104.81,67.92,206.11,3.2,3.2,3.2,0,0,0,0,-5,al
1,1988,1,202.48,112.09,76.45,210.83,3.2,3.2,3.2,0,0,0,0,-5,al
1,1989,1,209.27,119.91,85.6,217.31,3.2,3.2,3.2,0,0,0,0,-5,al
1,1990,1,215.38,127.07,94,223.65,3.2,3.2,3.2,0,0,0,0,-5,al
1,1991,1,221.9,133.31,101.31,230.4,3.2,3.2,3.2,0,0,0,0,-5,al
1,1992,1,227.95,137.47,106.18,236.75,3.2,3.2,3.2,0,0,0,0,-5,al
1,1993,1,231.98,141.71,111.14,240.58,3.2,3.2,3.2,0,0,0,0,-5,al
1,1994,1,240.77,145.41,115.48,244.98,3.2,3.2,3.2,0,0,-1,0,-5,al
1,1995,1,244.59,149,119.69,248.3,3.2,3.2,3.2,0,0,-0.73,0,-5,al
1,1996,1,248.19,152.07,123.28,251.74,3.2,3.2,3.2,0,0,-0.37,0,-5,al
1,1997,1,252.5,154.9,126.59,255.44,3.2,3.2,3.2,0,0,0,0,-5,al
1,1998,1,255.54,156.68,128.68,263.09,3.2,3.2,3.2,0,0,0,0,-5,al
1,1999,1,257.88,159.14,131.57,265.39,3.2,3.2,3.2,0,0,0,0,-5,al
1,2000,1,254.38,162.72,135.76,268.71,3.2,3.2,3.2,0,0,0,0,-5,al
1,2001,1,262.89,166.23,139.87,271.97,3.2,3.2,3.2,0,0,0,0,-5,al
1,2002,1,265.78,168.56,142.6,274.13,3.2,3.2,3.2,0,0,0,0,-5,al
