date,All Employees: Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,225.125149012672,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-02-01,224.748586544468,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-03-01,225.567635871278,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-04-01,226.355445787694,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-05-01,227.061697553154,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-06-01,228.461594677538,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-07-01,230.29958333591702,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-08-01,230.502075968539,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-09-01,229.962264140994,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-10-01,228.112161192203,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-11-01,229.996135490069,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1990-12-01,229.459076028096,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-01-01,229.606246527543,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-02-01,230.81465791974202,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-03-01,230.66636623515498,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-04-01,231.198022274454,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-05-01,231.950582685099,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-06-01,232.35464193096297,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-07-01,234.96643738615,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-08-01,233.300060841186,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-09-01,231.84448480621398,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-10-01,232.167907717779,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-11-01,232.343448937029,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1991-12-01,232.623190328975,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-01-01,232.295621419661,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-02-01,232.054085038293,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-03-01,235.153084254622,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-04-01,232.83330863847198,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-05-01,233.13170316509,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-06-01,233.51402410024102,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-07-01,234.90384265717,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-08-01,236.25146065569697,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-09-01,236.62108244660098,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-10-01,237.62366777814603,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-11-01,238.285172045665,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1992-12-01,239.40786342166402,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-01-01,240.435582248778,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-02-01,241.177184028349,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-03-01,241.95432958327498,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-04-01,242.154136592211,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-05-01,242.688249025392,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-06-01,242.71346203757,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-07-01,243.937225239798,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-08-01,243.59894549267602,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-09-01,244.768500524298,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-10-01,246.952882664003,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-11-01,246.365941611246,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1993-12-01,247.14522083214698,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
1994-01-01,248.259566059864,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013GOVT,Monthly,Seasonally Adjusted
