date,All Employees: Manufacturing,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,186.551425505607,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-02-01,187.181533593311,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-03-01,188.719701070725,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-04-01,187.851562338425,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-05-01,187.644928184066,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-06-01,187.498633668391,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-07-01,187.581797868166,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-08-01,186.790197574816,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-09-01,185.104496235131,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-10-01,182.56509960658798,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-11-01,181.639320469788,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1990-12-01,180.17103692924098,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-01-01,179.59099023974701,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-02-01,178.903743067081,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-03-01,177.985566371479,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-04-01,177.403843387048,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-05-01,177.239276342529,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-06-01,176.94017967011,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-07-01,176.14599445248902,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-08-01,176.023403853002,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-09-01,176.47699913241902,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-10-01,176.924721355034,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-11-01,177.004604089579,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1991-12-01,176.981558015543,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-01-01,176.741022312198,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-02-01,177.048072053572,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-03-01,177.600028781993,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-04-01,178.321506368914,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-05-01,178.820520004315,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-06-01,179.123628625825,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-07-01,179.40796047204498,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
1992-08-01,179.68726169056,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Manufacturing in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013MFG,Monthly,Seasonally Adjusted
