date,Average Hourly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2007-01-01,23.5819193048033,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-02-01,23.7297703691567,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-03-01,25.0826914530082,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-04-01,23.9351990915475,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-05-01,23.926262699462104,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-06-01,24.3072883492903,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-07-01,22.937337452982696,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-08-01,22.380417660169503,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-09-01,23.6305936483422,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
2007-10-01,23.6281538026427,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Average Hourly Earnings of All Employees: Total Private in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120600500000003SA,Monthly,Seasonally Adjusted
