date,Housing Inventory: Median Home Size in Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,2558.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-08-01,2540.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-09-01,2534.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-10-01,2528.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-11-01,2526.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2016-12-01,2508.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-01-01,2504.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-02-01,2512.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-03-01,2552.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-04-01,2623.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-05-01,2653.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-06-01,2666.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
2017-07-01,2624.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Median Home Size in Square Feet in Atlanta-Sandy Springs-Roswell, GA (CBSA)",MEDSQUFEE12060,Monthly,Not Seasonally Adjusted
