date,All Employees: Education and Health Services,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,23.453802229260997,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-02-01,23.3810400849333,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-03-01,23.7164541456489,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-04-01,23.941217674970897,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-05-01,24.1467258778759,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-06-01,24.1523376014537,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-07-01,24.471509644798196,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-08-01,24.6071331501726,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-09-01,24.461707119416598,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-10-01,24.587891208562798,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-11-01,24.6574029570709,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1990-12-01,24.439913447587198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-01-01,24.5493229862148,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-02-01,24.678508082576197,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-03-01,24.7136524578022,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-04-01,24.8286614913442,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-05-01,24.9378312412178,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-06-01,24.9509263368402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-07-01,25.0840772883702,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-08-01,25.2340555776748,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-09-01,25.450443221977302,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-10-01,25.8834709830619,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-11-01,25.8541141469195,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1991-12-01,26.1303352613277,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-01-01,26.1407190321765,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-02-01,26.377125578646897,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-03-01,26.6020943867558,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-04-01,26.508565070977397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-05-01,26.6118107658115,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-06-01,26.755627110864896,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-07-01,27.022578592203,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-08-01,27.2030528578262,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-09-01,27.3334708952606,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-10-01,27.4899299048912,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-11-01,27.7453618650742,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1992-12-01,27.9185393933737,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-01-01,28.028890100780398,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-02-01,28.1889217435637,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-03-01,28.2995252077921,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-04-01,28.3811052237195,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-05-01,28.472216853172498,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-06-01,28.543553989544503,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-07-01,28.529073111345703,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-08-01,28.6724868966674,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-09-01,28.8410154238974,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-10-01,28.696920394482003,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-11-01,28.746288627465102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1993-12-01,28.7264910878206,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-01-01,28.927554269060195,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-02-01,28.810363585766897,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-03-01,28.9041031379895,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-04-01,29.2622769174014,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-05-01,29.321682428266,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-06-01,29.714900259924303,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-07-01,29.7158596666893,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-08-01,29.8357704156215,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-09-01,30.163098351286397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-10-01,30.297452543084102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-11-01,30.440880516452303,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1994-12-01,30.62296292806,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-01-01,31.1351593179993,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-02-01,31.423991227258302,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-03-01,31.3953552969699,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-04-01,31.1369044875654,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-05-01,31.562002030454803,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-06-01,31.586674148434,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-07-01,31.599572283834895,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-08-01,31.7121575959151,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-09-01,31.814456970550104,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-10-01,31.8791999565066,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
1995-11-01,32.1389136014675,NM,"Albuquerque, NM",Albuquerque,"All Employees: Education and Health Services in Albuquerque, NM (MSA)",ALBU735EDUH,Monthly,Seasonally Adjusted
