date,All Employees: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,14.6,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1991-01-01,14.6,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1992-01-01,14.9,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1993-01-01,15.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1994-01-01,15.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1995-01-01,14.7,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1996-01-01,14.4,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1997-01-01,14.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1998-01-01,14.3,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
1999-01-01,14.0,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2000-01-01,14.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2001-01-01,13.8,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2002-01-01,14.0,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2003-01-01,14.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2004-01-01,14.0,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2005-01-01,14.2,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2006-01-01,14.5,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2007-01-01,14.5,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
2008-01-01,14.6,NM,"Albuquerque, NM",Albuquerque,"All Employees: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001A,Annual,Not Seasonally Adjusted
