date,All Employees: Goods Producing,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,38.401997850702,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-02-01,38.142478775536496,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-03-01,38.3077291978964,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-04-01,38.2576616180067,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-05-01,38.6080037551083,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-06-01,38.4248854757454,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-07-01,37.8418520761346,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-08-01,37.7937153277289,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-09-01,37.8230055296616,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-10-01,37.5017308575281,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-11-01,36.6160516709299,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1990-12-01,36.37153637917471,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-01-01,36.7242878916267,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-02-01,36.783372262073996,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-03-01,36.8691593414799,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-04-01,37.0260110350569,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-05-01,36.9053937545104,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-06-01,37.1621361358482,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-07-01,37.052065546185396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-08-01,36.9324239377653,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-09-01,36.8586055147541,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-10-01,36.9357692863457,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-11-01,37.2108176958191,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1991-12-01,37.4596256685568,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-01-01,37.4288327014893,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-02-01,37.560786201861,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-03-01,37.661637340854,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-04-01,37.719484058720106,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-05-01,38.0163008209978,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-06-01,38.0947214303125,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-07-01,38.6168291346634,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-08-01,38.931313592512396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-09-01,39.3265593896632,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-10-01,39.53052720531971,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-11-01,39.5928860559001,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1992-12-01,39.6344161825279,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-01-01,39.987922105135105,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-02-01,40.483403669888396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-03-01,40.6687161886665,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-04-01,41.374289516301104,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-05-01,41.6146030495515,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-06-01,42.106940825538295,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-07-01,42.6377973407487,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-08-01,43.279294151112396,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-09-01,43.65535287721129,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-10-01,44.9039762985727,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-11-01,45.65467258205751,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1993-12-01,46.22830423056539,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1994-01-01,47.005677785963705,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
1994-02-01,46.8752001369228,NM,"Albuquerque, NM",Albuquerque,"All Employees: Goods Producing in Albuquerque, NM (MSA)",SMU35107400600000001SA,Monthly,Seasonally Adjusted
