date,All Employees: Government: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,14.301890957678198,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-02-01,14.5272416653355,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-03-01,14.4756131849965,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-04-01,15.0269740117537,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-05-01,15.6075252070977,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-06-01,14.832989663937399,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-07-01,14.827823254084802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-08-01,14.513555113599,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-09-01,14.4348606361433,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-10-01,14.3940192805825,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-11-01,14.334522932263598,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1990-12-01,14.113042732042,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-01-01,14.4058603475755,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-02-01,14.524555390449299,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-03-01,14.4787519170491,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-04-01,14.414209064316001,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-05-01,14.406204954602599,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-06-01,14.437493651600098,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-07-01,14.445263560559,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-08-01,14.6133179637728,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-09-01,14.6335807712328,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-10-01,14.696379280634401,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-11-01,14.7383787219659,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1991-12-01,14.802870140471402,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1992-01-01,14.8147399192385,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
1992-02-01,14.7243605450926,NM,"Albuquerque, NM",Albuquerque,"All Employees: Government: Federal Government in Albuquerque, NM (MSA)",SMU35107409091000001SA,Monthly,Seasonally Adjusted
