date,All Employees: Leisure and Hospitality,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,25.540948817624802,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-02-01,25.6624561345996,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-03-01,25.7250249729127,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-04-01,26.078440429643102,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-05-01,26.479862728491103,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-06-01,26.181524678846998,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-07-01,26.3940286209007,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-08-01,26.364698033457397,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-09-01,26.3200755684647,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-10-01,26.2276330622337,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-11-01,26.1138757060607,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1990-12-01,25.7288133570831,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1991-01-01,25.7227841339279,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
1991-02-01,25.546158211669503,NM,"Albuquerque, NM",Albuquerque,"All Employees: Leisure and Hospitality in Albuquerque, NM (MSA)",ALBU735LEIH,Monthly,Seasonally Adjusted
