date,All Employees: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,25.5,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1991-01-01,25.7,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1992-01-01,26.3,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1993-01-01,27.2,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1994-01-01,28.3,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1995-01-01,29.4,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1996-01-01,30.0,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1997-01-01,30.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1998-01-01,31.4,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
1999-01-01,32.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2000-01-01,32.7,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2001-01-01,33.9,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2002-01-01,35.5,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2003-01-01,35.8,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2004-01-01,36.6,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2005-01-01,37.5,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2006-01-01,38.7,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2007-01-01,39.5,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2008-01-01,40.9,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2009-01-01,41.7,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2010-01-01,41.5,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2011-01-01,41.3,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2012-01-01,40.4,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2013-01-01,40.7,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2014-01-01,40.2,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2015-01-01,40.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2016-01-01,40.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2017-01-01,39.9,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
2018-01-01,40.2,NM,"Albuquerque, NM",Albuquerque,"All Employees: Local Government in Albuquerque, NM (MSA)",SMU35107409093000001A,Annual,Not Seasonally Adjusted
