date,All Employees: Professional and Business Services,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,42.7791263902946,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-02-01,42.7426741931926,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-03-01,42.7165533753748,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-04-01,43.5599470962425,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-05-01,43.3264406024541,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-06-01,44.0824780477077,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-07-01,43.117475597928,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-08-01,42.8940492751126,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-09-01,42.6851590113656,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-10-01,42.9117317455651,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-11-01,42.5458595236532,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1990-12-01,43.6994565727419,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
1991-01-01,43.8292259399335,NM,"Albuquerque, NM",Albuquerque,"All Employees: Professional and Business Services in Albuquerque, NM (MSA)",ALBU735PBSV,Monthly,Seasonally Adjusted
