date,All Employees: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,15.1,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1991-01-01,15.8,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1992-01-01,16.4,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1993-01-01,17.0,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1994-01-01,17.6,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1995-01-01,18.0,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1996-01-01,19.3,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1997-01-01,21.3,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1998-01-01,21.5,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
1999-01-01,21.7,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
2000-01-01,22.3,NM,"Albuquerque, NM",Albuquerque,"All Employees: State Government in Albuquerque, NM (MSA)",SMU35107409092000001A,Annual,Not Seasonally Adjusted
