date,"All Employees: Trade, Transportation, and Utilities",state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,54.007827226734506,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-02-01,54.2978085272531,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-03-01,54.558616611111205,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-04-01,54.4472774798438,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-05-01,54.592286799128104,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-06-01,54.495026242073706,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-07-01,53.7019029221628,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-08-01,53.8045516985808,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-09-01,53.784871439072106,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-10-01,53.4598937055379,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-11-01,53.5692601247702,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1990-12-01,53.1259430805229,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-01-01,52.7689179017646,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-02-01,52.7652540683934,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-03-01,52.6511233829764,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-04-01,52.53456850935989,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-05-01,52.496981374201795,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-06-01,52.720328838000896,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-07-01,52.7181744834136,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-08-01,52.826559531544895,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-09-01,52.8993182547205,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-10-01,53.3011672972238,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-11-01,53.169381310254,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1991-12-01,53.3094097814456,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-01-01,53.3099948398016,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
1992-02-01,53.486722639708795,NM,"Albuquerque, NM",Albuquerque,"All Employees: Trade, Transportation, and Utilities in Albuquerque, NM (MSA)",ALBU735TRAD,Monthly,Seasonally Adjusted
