date,Housing Inventory: Active Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,3.13,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,2.57,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,-1.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,-2.16,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,-4.72,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,-10.18,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,-8.4,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,-3.35,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,-2.47,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,4.99,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,6.63,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-06-01,7.57,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-07-01,5.78,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-08-01,1.66,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-09-01,-1.58,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-10-01,-0.77,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-11-01,-6.13,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-12-01,-8.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-01-01,-12.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-02-01,-3.56,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-03-01,-4.86,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-04-01,0.26,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-05-01,6.83,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-06-01,8.23,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-07-01,0.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-08-01,-2.1,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-09-01,-3.14,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-10-01,3.8,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-11-01,-6.93,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-12-01,-13.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-01-01,-14.8,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-02-01,-3.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-03-01,-2.85,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-04-01,6.7,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-05-01,-6.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",ACTLISCOUMM10740,Monthly,Not Seasonally Adjusted
