date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,4032.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2016-08-01,4131.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2016-09-01,4081.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2016-10-01,3945.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2016-11-01,3721.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2016-12-01,3309.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-01-01,3037.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-02-01,2974.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-03-01,2984.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-04-01,3086.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-05-01,3242.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-06-01,3510.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-07-01,3620.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-08-01,3713.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-09-01,3656.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-10-01,3577.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
2017-11-01,3408.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Active Listing Count in Albuquerque, NM (CBSA)",ACTLISCOU10740,Monthly,Not Seasonally Adjusted
