date,Housing Inventory: Average Listing Price Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,0.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,-0.26,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,-0.61,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,-0.51,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,-1.47,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,0.15,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,-0.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,2.67,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,1.4,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,0.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,1.35,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-06-01,0.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-07-01,-2.27,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-08-01,-1.58,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-09-01,-0.28,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-10-01,1.24,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-11-01,-0.88,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2018-12-01,-0.52,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
2019-01-01,0.35,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price Month-Over-Month in Albuquerque, NM (CBSA)",AVELISPRIMM10740,Monthly,Not Seasonally Adjusted
