date,Housing Inventory: Average Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,310068.5266,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2016-08-01,309324.5767,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2016-09-01,308222.9192,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2016-10-01,310370.7327,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2016-11-01,312507.9792,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2016-12-01,310726.906,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-01-01,303974.1615,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-02-01,307550.1765,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-03-01,308984.4214,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-04-01,315429.5078,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-05-01,320964.3141,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-06-01,325081.8088,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-07-01,326841.0188,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-08-01,326003.9727,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
2017-09-01,324000.2884,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Average Listing Price in Albuquerque, NM (CBSA)",AVELISPRI10740,Monthly,Not Seasonally Adjusted
