date,Housing Inventory: Median Days on Market Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,8.5106383,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,2.9411765,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,8.5714286,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,7.8947368,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,4.8780488,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,10.0775194,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,3.5211268,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,-12.244898,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,-20.9302326,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,-8.8235294,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,-1.0752688,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Month-Over-Month in Albuquerque, NM (CBSA)",MEDDAYONMARMM10740,Monthly,Not Seasonally Adjusted
