date,Housing Inventory: Median Days on Market Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-13.559322,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2017-08-01,-11.0169492,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2017-09-01,-10.9375,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2017-10-01,-6.8181818,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2017-11-01,-9.1549296,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2017-12-01,-10.1265823,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-01-01,-6.3694268,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-02-01,-5.8394161,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-03-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-04-01,-1.0638298,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-05-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-06-01,2.1276596,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-07-01,0.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-08-01,0.952381,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-09-01,1.754386,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-10-01,-2.4390244,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-11-01,-3.875969,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
2018-12-01,-2.8169014,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Days on Market Year-Over-Year in Albuquerque, NM (CBSA)",MEDDAYONMARYY10740,Monthly,Not Seasonally Adjusted
