date,Housing Inventory: Median Home Size in Square Feet Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-0.43,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,-1.18,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,-0.27,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,-0.98,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,-0.47,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,-0.57,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,-0.52,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,1.6,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,1.31,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,0.95,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,0.19,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
2018-06-01,0.12,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Month-Over-Month in Albuquerque, NM (CBSA)",MEDSQUFEEMM10740,Monthly,Not Seasonally Adjusted
