date,Housing Inventory: Median Home Size in Square Feet Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,2.51,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-08-01,1.61,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-09-01,1.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-10-01,1.05,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-11-01,0.77,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2017-12-01,0.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-01-01,-0.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-02-01,0.35,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-03-01,1.13,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-04-01,1.24,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-05-01,1.34,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-06-01,-0.29,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-07-01,-1.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-08-01,-0.44,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-09-01,-1.22,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-10-01,-0.17,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-11-01,0.27,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2018-12-01,0.8,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-01-01,0.9,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-02-01,0.1,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-03-01,1.83,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-04-01,3.59,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-05-01,3.44,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-06-01,3.07,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-07-01,2.28,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-08-01,1.94,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-09-01,1.66,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-10-01,3.77,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-11-01,2.91,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2019-12-01,1.85,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-01-01,4.46,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-02-01,4.94,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-03-01,1.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-04-01,-2.25,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-05-01,-0.09,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-06-01,4.56,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-07-01,7.74,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-08-01,9.34,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-09-01,8.66,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-10-01,4.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-11-01,2.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2020-12-01,3.73,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
2021-01-01,-0.36,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Home Size in Square Feet Year-Over-Year in Albuquerque, NM (CBSA)",MEDSQUFEEYY10740,Monthly,Not Seasonally Adjusted
