date,Housing Inventory: Median Listing Price per Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,119.4444444,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2016-08-01,118.2678969,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2016-09-01,118.5348624,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2016-10-01,119.4852941,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2016-11-01,119.5956132,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2016-12-01,118.7403201,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-01-01,117.7458357,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-02-01,118.2727273,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-03-01,119.8828341,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-04-01,121.6049383,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-05-01,123.2010607,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-06-01,124.0403547,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-07-01,123.7859062,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-08-01,123.7304089,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-09-01,123.2993197,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
2017-10-01,122.3425926,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Median Listing Price per Square Feet in Albuquerque, NM (CBSA)",MEDLISPRIPERSQUFEE10740,Monthly,Not Seasonally Adjusted
