date,Housing Inventory: Pending Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,33.33,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,12.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,22.22,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,-13.64,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,-10.53,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,-41.18,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,-30.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,23428.57,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,-95.75,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,-1.43,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,2840.58,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-06-01,-4.24,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-07-01,-1.08,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-08-01,-4.89,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-09-01,-6.29,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-10-01,-7.12,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-11-01,-4.02,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2018-12-01,-10.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-01-01,-10.32,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-02-01,23.51,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-03-01,23.79,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-04-01,16.44,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-05-01,7.2,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-06-01,9.97,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-07-01,-13.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-08-01,-4.65,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-09-01,-14.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-10-01,-5.16,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-11-01,-6.02,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2019-12-01,-13.24,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-01-01,-2.56,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-02-01,26.51,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-03-01,9.9,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-04-01,-7.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-05-01,10.19,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-06-01,27.01,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-07-01,2.48,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-08-01,-2.02,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-09-01,-0.89,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-10-01,-2.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-11-01,-10.85,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2020-12-01,-10.71,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-01-01,-8.11,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-02-01,12.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-03-01,3.32,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-04-01,5.74,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-05-01,7.21,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-06-01,0.7,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-07-01,-4.77,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-08-01,2.09,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-09-01,-3.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-10-01,-3.91,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2021-11-01,-10.1,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count Month-Over-Month in Albuquerque, NM (CBSA)",PENLISCOUMM10740,Monthly,Not Seasonally Adjusted
2017-07-01,-4.86,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-08-01,-1.06,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-09-01,-7.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-10-01,-7.57,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-11-01,-0.16,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2017-12-01,-6.82,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-01-01,-8.89,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-02-01,19.94,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-03-01,18.18,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-04-01,105.59,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-05-01,4.66,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-06-01,-3.33,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-07-01,-5.96,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-08-01,-9.31,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-09-01,-3.96,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-10-01,-6.96,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-11-01,-3.73,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2018-12-01,-12.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-01-01,-6.18,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-02-01,20.17,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-03-01,19.28,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-04-01,12.61,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-05-01,4.79,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-06-01,-2.12,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-07-01,-4.47,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-08-01,-5.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-09-01,-4.15,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-10-01,-5.81,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-11-01,-4.33,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2019-12-01,-13.73,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-01-01,-5.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-02-01,27.19,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-03-01,9.61,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-04-01,-13.34,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-05-01,12.83,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-06-01,22.96,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-07-01,4.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-08-01,-0.96,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-09-01,-1.47,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-10-01,-5.01,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-11-01,-3.55,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
2020-12-01,-9.53,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Pending Listing Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PENLISCOUMM12060,Monthly,Not Seasonally Adjusted
