date,Housing Inventory: Pending Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,14.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2016-08-01,13.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2016-09-01,12.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2016-10-01,18.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2016-11-01,17.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2016-12-01,18.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2017-01-01,12.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2017-02-01,13.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2017-03-01,12.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2017-04-01,14.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2017-05-01,11.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
2017-06-01,12.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Pending Listing Count in Albuquerque, NM (CBSA)",PENLISCOU10740,Monthly,Not Seasonally Adjusted
