date,Housing Inventory: Price Increased Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,56.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2016-08-01,80.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2016-09-01,76.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2016-10-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2016-11-01,56.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2016-12-01,72.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-01-01,76.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-02-01,88.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-03-01,92.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-04-01,52.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-05-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-06-01,68.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-07-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-08-01,84.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-09-01,60.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-10-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-11-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2017-12-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-01-01,36.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-02-01,104.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-03-01,132.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-04-01,68.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-05-01,140.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-06-01,168.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-07-01,188.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-08-01,264.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-09-01,180.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-10-01,172.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-11-01,196.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2018-12-01,152.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-01-01,132.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-02-01,120.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-03-01,92.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-04-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-05-01,60.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-06-01,56.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-07-01,80.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-08-01,148.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-09-01,216.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-10-01,44.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-11-01,40.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2019-12-01,64.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-01-01,36.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-02-01,68.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-03-01,32.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-04-01,88.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-05-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-06-01,64.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-07-01,64.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-08-01,96.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-09-01,108.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-10-01,52.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-11-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2020-12-01,76.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-01-01,80.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-02-01,68.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-03-01,100.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-04-01,80.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-05-01,56.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-06-01,32.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-07-01,36.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-08-01,56.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-09-01,44.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-10-01,56.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2021-11-01,48.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Increased Count in Albuquerque, NM (CBSA)",PRIINCCOU10740,Monthly,Not Seasonally Adjusted
2016-07-01,3096.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Increased Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIINCCOU12060,Monthly,Not Seasonally Adjusted
2016-08-01,2736.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Increased Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIINCCOU12060,Monthly,Not Seasonally Adjusted
2016-09-01,2652.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Increased Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIINCCOU12060,Monthly,Not Seasonally Adjusted
2016-10-01,2636.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Increased Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIINCCOU12060,Monthly,Not Seasonally Adjusted
2016-11-01,1900.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Increased Count in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIINCCOU12060,Monthly,Not Seasonally Adjusted
