date,Housing Inventory: Price Reduced Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,1.27,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2017-08-01,7.52,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2017-09-01,-3.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2017-10-01,-7.25,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2017-11-01,-13.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2017-12-01,-31.46,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-01-01,-5.46,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-02-01,56.07,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-03-01,8.15,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-04-01,-21.23,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-05-01,39.13,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-06-01,41.25,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-07-01,12.61,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-08-01,2.55,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-09-01,-5.94,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-10-01,-9.57,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-11-01,-13.74,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2018-12-01,-10.97,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-01-01,-13.2,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-02-01,2.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-03-01,-19.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-04-01,-17.28,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-05-01,8.96,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-06-01,21.46,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-07-01,2.63,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-08-01,-12.45,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-09-01,-6.69,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-10-01,9.42,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-11-01,-16.39,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2019-12-01,-44.61,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-01-01,-3.54,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-02-01,15.6,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-03-01,1.59,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-04-01,-9.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-05-01,13.79,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-06-01,2.27,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-07-01,-10.37,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-08-01,-0.83,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-09-01,2.5,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-10-01,9.76,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-11-01,-20.74,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2020-12-01,-31.78,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-01-01,-8.22,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-02-01,-32.84,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-03-01,15.56,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-04-01,-17.31,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-05-01,20.93,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-06-01,40.38,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-07-01,26.03,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-08-01,10.87,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-09-01,10.78,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-10-01,-25.66,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2021-11-01,-25.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count Month-Over-Month in Albuquerque, NM (CBSA)",PRIREDCOUMM10740,Monthly,Not Seasonally Adjusted
2017-07-01,7.76,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOUMM12060,Monthly,Not Seasonally Adjusted
2017-08-01,10.65,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Housing Inventory: Price Reduced Count Month-Over-Month in Atlanta-Sandy Springs-Roswell, GA (CBSA)",PRIREDCOUMM12060,Monthly,Not Seasonally Adjusted
