date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,1436.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2016-08-01,1432.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2016-09-01,1364.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2016-10-01,1232.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2016-11-01,1056.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2016-12-01,712.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-01-01,780.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-02-01,768.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-03-01,832.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-04-01,888.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-05-01,1084.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-06-01,1260.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-07-01,1276.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-08-01,1372.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-09-01,1324.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-10-01,1228.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-11-01,1068.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2017-12-01,732.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2018-01-01,692.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2018-02-01,1080.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2018-03-01,1168.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2018-04-01,920.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2018-05-01,1280.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
2018-06-01,1808.0,NM,"Albuquerque, NM",Albuquerque,"Housing Inventory: Price Reduced Count in Albuquerque, NM (CBSA)",PRIREDCOU10740,Monthly,Not Seasonally Adjusted
