date,Per Capita Personal Income,state,msa,city,title,id,frequency,seasonal_adjustment
1969-01-01,3303,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1970-01-01,3702,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1971-01-01,4021,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1972-01-01,4499,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1973-01-01,4795,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1974-01-01,5203,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1975-01-01,5754,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1976-01-01,6318,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1977-01-01,6832,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1978-01-01,7729,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1979-01-01,8518,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1980-01-01,9245,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1981-01-01,10131,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1982-01-01,11199,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1983-01-01,12041,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1984-01-01,13102,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1985-01-01,14090,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1986-01-01,14628,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1987-01-01,15100,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1988-01-01,15789,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1989-01-01,16488,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
1990-01-01,17396,NM,"Albuquerque, NM",Albuquerque,"Per Capita Personal Income in Albuquerque, NM (MSA)",ALBU735PCPI,Annual,Not Seasonally Adjusted
