date,Resident Population,state,msa,city,title,id,frequency,seasonal_adjustment
2000-01-01,731.712,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2001-01-01,739.531,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2002-01-01,753.67,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2003-01-01,766.154,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2004-01-01,780.865,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2005-01-01,798.722,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2006-01-01,817.973,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2007-01-01,834.685,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2008-01-01,846.582,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2009-01-01,857.903,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2010-01-01,889.581,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2011-01-01,898.123,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2012-01-01,902.091,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2013-01-01,905.143,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2014-01-01,904.75,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2015-01-01,906.283,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
2016-01-01,909.571,NM,"Albuquerque, NM",Albuquerque,"Resident Population in Albuquerque, NM (MSA)",ABQPOP,Annual,Not Seasonally Adjusted
