date,All Employees: Federal Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,47.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1991-01-01,47.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1992-01-01,47.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1993-01-01,48.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1994-01-01,49.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1995-01-01,48.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1996-01-01,46.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1997-01-01,44.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1998-01-01,44.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
1999-01-01,44.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"All Employees: Federal Government in Atlanta-Sandy Springs-Roswell, GA (MSA)",SMU13120609091000001A,Annual,Not Seasonally Adjusted
