date,Resident Population,state,msa,city,title,id,frequency,seasonal_adjustment
2000-01-01,4281.905,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2001-01-01,4432.95,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2002-01-01,4555.49,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2003-01-01,4673.146,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2004-01-01,4802.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2005-01-01,4947.012,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2006-01-01,5119.641,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2007-01-01,5267.527,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2008-01-01,5385.586,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
2009-01-01,5475.213,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Resident Population in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLPOP,Annual,Not Seasonally Adjusted
