date,Unemployment Rate,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-02-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-03-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-04-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-05-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-06-01,4.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-07-01,4.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-08-01,5.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-09-01,5.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-10-01,5.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-11-01,5.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1990-12-01,5.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-01-01,5.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-02-01,5.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-03-01,5.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-04-01,5.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-05-01,5.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-06-01,5.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-07-01,4.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-08-01,4.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-09-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-10-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-11-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1991-12-01,4.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-01-01,4.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-02-01,6.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-03-01,6.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-04-01,6.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-05-01,6.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-06-01,6.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-07-01,6.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-08-01,6.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-09-01,6.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-10-01,5.9,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-11-01,5.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1992-12-01,5.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-01-01,5.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-02-01,5.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-03-01,5.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-04-01,5.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-05-01,5.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-06-01,5.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-07-01,5.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-08-01,5.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-09-01,5.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-10-01,5.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-11-01,5.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1993-12-01,5.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-01-01,5.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-02-01,5.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-03-01,5.0,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-04-01,4.8,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-05-01,4.7,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-06-01,4.6,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-07-01,4.5,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-08-01,4.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-09-01,4.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-10-01,4.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-11-01,4.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1994-12-01,4.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1995-01-01,4.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1995-02-01,4.1,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1995-03-01,4.2,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1995-04-01,4.3,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
1995-05-01,4.4,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,"Unemployment Rate in Atlanta-Sandy Springs-Roswell, GA (MSA)",ATLA013UR,Monthly,Smoothed Seasonally Adjusted
