date,All Employees: Financial Activities,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,4.85028683597873,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-02-01,4.86538347576867,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-03-01,4.9375231272294595,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-04-01,5.01786109872897,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-05-01,5.022254492838741,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-06-01,5.049219559303549,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-07-01,5.03078999910262,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-08-01,4.92914820035295,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-09-01,4.9924151517679505,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-10-01,5.014419156406559,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-11-01,5.02466477357429,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1990-12-01,4.96287137370505,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-01-01,4.950711077847759,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-02-01,4.86290009445438,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-03-01,4.93822734831064,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-04-01,4.92052630555521,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-05-01,4.92453063137616,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-06-01,4.85115585551628,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-07-01,4.83160707324304,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-08-01,4.8306353264748605,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-09-01,4.79192420379224,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-10-01,4.71141525222701,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-11-01,4.7240974654165795,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1991-12-01,4.66502314439622,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1992-01-01,4.74786623658128,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
1992-02-01,4.757349387357049,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Financial Activities in Burlington-South Burlington, VT (NECTA)",BURL450FIRE,Monthly,Seasonally Adjusted
