date,All Employees: Government: Local Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,6.526846393810249,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-02-01,6.49279750129697,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-03-01,6.5553375537588,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-04-01,6.6081466447848705,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-05-01,6.5432543376856,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-06-01,6.566264427118419,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-07-01,6.63957270026567,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-08-01,6.69592667869568,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-09-01,6.55628800727429,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-10-01,6.72286814538141,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-11-01,6.70205561442917,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1990-12-01,6.780181637884179,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-01-01,6.7384410115748095,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-02-01,6.80031994743823,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-03-01,6.654328263707111,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-04-01,6.70796975506567,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-05-01,6.73330345327929,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-06-01,6.55449447463961,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-07-01,6.9606929275159,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-08-01,7.10611288533053,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-09-01,6.73370718064149,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-10-01,6.7175841391183795,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-11-01,6.799700296488901,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1991-12-01,6.68014951830654,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-01-01,6.85272503653935,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-02-01,6.8114901713516405,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-03-01,6.85756716891535,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-04-01,6.8059753340163205,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-05-01,6.821447471982349,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-06-01,6.726729396561849,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-07-01,6.89176830535765,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-08-01,6.83212850373758,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-09-01,6.7842977379383,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-10-01,6.818052263196959,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-11-01,6.8045009561901795,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1992-12-01,6.890583000103169,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-01-01,6.8592965057006,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-02-01,6.92182595566841,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-03-01,7.160471576741941,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-04-01,6.9005510715638305,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-05-01,6.907935982989531,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-06-01,7.09412521934113,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-07-01,6.73661694313757,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-08-01,6.557625597799589,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-09-01,6.92282942630723,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
1993-10-01,6.9241378834413005,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Government: Local Government in Burlington-South Burlington, VT (NECTA)",SMU50724009093000001SA,Monthly,Seasonally Adjusted
