date,All Employees: Health Care: Ambulatory Health Care Services,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1991-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1992-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1993-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1994-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1995-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1996-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1997-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1998-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1999-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2000-01-01,.,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2001-01-01,72.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2002-01-01,74.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2003-01-01,76.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2004-01-01,78.7,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2005-01-01,81.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2006-01-01,84.4,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2007-01-01,86.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2008-01-01,88.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2009-01-01,90.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2010-01-01,90.6,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2011-01-01,91.9,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2012-01-01,93.1,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2013-01-01,95.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2014-01-01,96.2,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2015-01-01,97.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2016-01-01,99.8,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2017-01-01,101.0,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2018-01-01,101.3,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2019-01-01,102.7,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
2020-01-01,94.4,MI,"Detroit-Warren-Dearborn, MI",Detroit,"All Employees: Health Care: Ambulatory Health Care Services in Detroit-Warren-Dearborn, MI (MSA)",SMU26198206562100001A,Annual,Not Seasonally Adjusted
1990-01-01,47.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1991-01-01,50.5,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1992-01-01,53.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1993-01-01,55.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1994-01-01,56.9,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1995-01-01,62.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1996-01-01,66.0,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1997-01-01,72.2,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1998-01-01,74.1,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
1999-01-01,73.3,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2000-01-01,75.3,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2001-01-01,77.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2002-01-01,81.6,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
2003-01-01,85.3,TX,"Houston-The Woodlands-Sugar Land, TX",Houston,"All Employees: Health Care: Ambulatory Health Care Services in Houston-The Woodlands-Sugar Land, TX (MSA)",SMU48264206562100001A,Annual,Not Seasonally Adjusted
