date,All Employees: Health Care: Hospitals,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,32.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1991-01-01,32.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1992-01-01,32.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1993-01-01,32.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1994-01-01,32.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1995-01-01,33.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1996-01-01,33.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1997-01-01,35.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1998-01-01,34.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1999-01-01,35.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2000-01-01,35.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2001-01-01,35.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2002-01-01,35.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2003-01-01,37.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2004-01-01,38.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2005-01-01,39.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2006-01-01,40.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2007-01-01,41.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2008-01-01,43.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2009-01-01,43.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2010-01-01,44.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2011-01-01,45.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2012-01-01,46.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2013-01-01,46.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2014-01-01,47.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2015-01-01,48.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2016-01-01,49.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2017-01-01,50.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2018-01-01,50.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2019-01-01,52.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
2020-01-01,51.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Health Care: Hospitals in Cincinnati, OH-KY-IN (MSA)",SMU39171406562200001A,Annual,Not Seasonally Adjusted
1990-01-01,50.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1991-01-01,55.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1992-01-01,54.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1993-01-01,53.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1994-01-01,53.2,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1995-01-01,54.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1996-01-01,54.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1997-01-01,55.3,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1998-01-01,55.3,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
1999-01-01,56.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Health Care: Hospitals in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191006562200001A,Annual,Not Seasonally Adjusted
