date,All Employees: Information: Telecommunications,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,30.2887615860427,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-02-01,30.5587564935605,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-03-01,30.775969395560104,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-04-01,30.973978334908498,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-05-01,31.0077885407779,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-06-01,31.1588941665408,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-07-01,31.603042605120898,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-08-01,31.6691948977945,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-09-01,32.0594579904172,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-10-01,31.635861786045602,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-11-01,31.5496500520902,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1990-12-01,31.4572818890558,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-01-01,31.0747300906455,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-02-01,30.538628356496396,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-03-01,30.9552673346944,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-04-01,30.538466015310103,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-05-01,30.483287632335202,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-06-01,30.4442913690065,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-07-01,30.7378048937282,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-08-01,30.9999665948636,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-09-01,30.9724035825659,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-10-01,30.887189745021896,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-11-01,30.7903142470835,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1991-12-01,30.8009251283484,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-01-01,30.032597837652396,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-02-01,30.4048424579954,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-03-01,30.2981292064154,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-04-01,30.371236236215896,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-05-01,30.5316912672395,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-06-01,30.5210585233565,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-07-01,30.200036933284103,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-08-01,30.0490849485845,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-09-01,30.001586626679803,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-10-01,30.361481786585397,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-11-01,30.5493731620851,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1992-12-01,30.6476690907162,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-01-01,30.7732547993504,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-02-01,30.977559691181696,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-03-01,30.930749291907702,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-04-01,31.2884724693944,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-05-01,31.347402354601396,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-06-01,31.589376464998104,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-07-01,31.6567269089016,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-08-01,31.713839143590803,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-09-01,32.1587400736329,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-10-01,32.1472783246347,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-11-01,32.2056709662014,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1993-12-01,32.173518462116,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1994-01-01,32.52942970639489,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1994-02-01,32.7541828056274,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
1994-03-01,32.8516034749323,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Information: Telecommunications in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191005051700001SA,Monthly,Seasonally Adjusted
