date,All Employees: Leisure and Hospitality,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,2.39403064012467,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-02-01,2.3988176792024,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-03-01,2.4468302360371403,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-04-01,2.40846293802396,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-05-01,2.47189619674628,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-06-01,2.44030848429871,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-07-01,2.57778946246024,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-08-01,2.58989784719077,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-09-01,2.52192052048864,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-10-01,2.57313578623229,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-11-01,2.6176119516694905,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1990-12-01,2.65647276348493,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1991-01-01,2.5988870909879704,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1991-02-01,2.60283645505435,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1991-03-01,2.64792433091556,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
1991-04-01,2.60419901170937,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Leisure and Hospitality in Bloomsburg-Berwick, PA (MSA)",SMU42141007000000001SA,Monthly,Seasonally Adjusted
