date,All Employees: Manufacturing,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,9.951075873743811,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-02-01,9.9308845319434,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-03-01,10.099907057285199,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-04-01,10.0397688519591,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-05-01,10.2373920755774,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-06-01,10.128202815656401,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-07-01,9.906013991099119,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-08-01,9.98223771544068,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-09-01,9.965632161482038,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-10-01,9.81601301316207,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-11-01,9.7822179584534,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1990-12-01,9.765564752696179,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1991-01-01,9.749191204714212,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1991-02-01,9.52649455897064,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1991-03-01,9.39672372455441,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1991-04-01,9.33400441853485,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1991-05-01,9.34013634486182,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
1991-06-01,9.33429348732889,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Manufacturing in Bloomsburg-Berwick, PA (MSA)",SMU42141003000000001SA,Monthly,Seasonally Adjusted
