date,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors",state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,24.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-02-01,24.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-03-01,24.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-04-01,23.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-05-01,23.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-06-01,23.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-07-01,23.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-08-01,23.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-09-01,23.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-10-01,22.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-11-01,23.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1990-12-01,22.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-01-01,22.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-02-01,22.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-03-01,21.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-04-01,21.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-05-01,21.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-06-01,21.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-07-01,22.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-08-01,22.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-09-01,22.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-10-01,21.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-11-01,22,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1991-12-01,22.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-01-01,22.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-02-01,22.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-03-01,23.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-04-01,22.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-05-01,22.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-06-01,22.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-07-01,22.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-08-01,22.3,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-09-01,22,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-10-01,22.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-11-01,21.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1992-12-01,21.7,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
1993-01-01,22.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Mining, Logging, and Construction: Specialty Trade Contractors in Cincinnati, OH-KY-IN (MSA)",SMU39171401523800001SA,Monthly,Seasonally Adjusted
