date,All Employees: Professional and Business Services,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-02-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-03-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-04-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-05-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-06-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-07-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-08-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-09-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-10-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-11-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1990-12-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1991-01-01,2.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
