date,All Employees: Retail Trade: Department Stores,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,35.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-02-01,35.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-03-01,36.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-04-01,35.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-05-01,35.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-06-01,35.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-07-01,35.3,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-08-01,34.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-09-01,34.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-10-01,34.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-11-01,35.0,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1990-12-01,34.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-01-01,34.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-02-01,34.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-03-01,34.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-04-01,34.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-05-01,34.0,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-06-01,33.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-07-01,33.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-08-01,33.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-09-01,33.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-10-01,33.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-11-01,33.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1991-12-01,33.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-01-01,33.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-02-01,33.7,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-03-01,33.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-04-01,33.5,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-05-01,33.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-06-01,33.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-07-01,33.6,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-08-01,33.4,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-09-01,33.3,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-10-01,33.1,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-11-01,33.0,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1992-12-01,32.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1993-01-01,32.9,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
1993-02-01,32.8,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,"All Employees: Retail Trade: Department Stores in Dallas-Fort Worth-Arlington, TX (MSA)",SMU48191004245210001SA,Monthly,Seasonally Adjusted
