date,All Employees: Retail Trade: General Merchandise Stores,state,msa,city,title,id,frequency,seasonal_adjustment
2003-01-01,5.9826058673052795,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-02-01,6.08785473056437,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-03-01,6.056606326316791,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-04-01,6.01619283243268,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-05-01,6.044083338935669,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-06-01,6.0625553643451,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-07-01,6.182149429325321,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-08-01,6.24101193277072,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-09-01,6.30474910910398,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-10-01,6.3081377049171605,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-11-01,6.2663786968154005,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2003-12-01,6.323877962978231,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2004-01-01,6.3834435711784,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
2004-02-01,6.50340302042615,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: Retail Trade: General Merchandise Stores in Charleston-North Charleston, SC (MSA)",SMU45167004245200001SA,Monthly,Seasonally Adjusted
