date,All Employees: Service-Providing,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,25.1103172304534,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-02-01,25.3811563387081,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-03-01,25.3180106636903,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-04-01,25.261690042346398,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-05-01,25.444931645149698,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-06-01,25.3248629722013,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-07-01,25.1665536763095,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-08-01,25.1676172741387,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-09-01,25.2080765245466,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-10-01,25.5960309453613,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-11-01,25.4996466913411,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1990-12-01,25.6776444004479,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
1991-01-01,26.2496114816415,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Service-Providing in Bloomsburg-Berwick, PA (MSA)",SMU42141000700000001SA,Monthly,Seasonally Adjusted
