date,All Employees: State Government,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,6.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1991-01-01,6.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1992-01-01,6.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1993-01-01,5.9,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1994-01-01,6.1,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1995-01-01,6.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1996-01-01,6.1,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1997-01-01,6.1,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1998-01-01,6.1,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1999-01-01,6.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2000-01-01,7.1,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2001-01-01,6.9,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2002-01-01,7.1,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2003-01-01,7.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2004-01-01,7.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2005-01-01,7.7,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2006-01-01,7.9,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2007-01-01,8.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2008-01-01,7.9,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2009-01-01,7.8,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2010-01-01,8.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2011-01-01,8.6,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2012-01-01,9.0,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2013-01-01,9.1,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2014-01-01,9.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2015-01-01,9.7,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2016-01-01,9.5,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2017-01-01,9.4,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2018-01-01,9.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2019-01-01,9.2,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
2020-01-01,8.6,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: State Government in Burlington-South Burlington, VT (NECTA)",SMU50724009092000001A,Annual,Not Seasonally Adjusted
1990-01-01,16.7,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1991-01-01,17.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1992-01-01,18.6,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1993-01-01,19.2,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1994-01-01,19.9,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1995-01-01,20.2,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1996-01-01,20.3,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1997-01-01,20.9,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1998-01-01,21.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1999-01-01,21.8,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2000-01-01,21.6,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2001-01-01,21.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2002-01-01,22.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2003-01-01,22.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2004-01-01,22.8,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2005-01-01,22.9,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2006-01-01,23.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2007-01-01,23.8,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2008-01-01,24.7,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2009-01-01,24.3,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2010-01-01,24.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2011-01-01,24.7,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2012-01-01,25.3,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2013-01-01,25.0,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2014-01-01,25.2,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2015-01-01,25.5,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2016-01-01,25.8,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2017-01-01,25.7,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2018-01-01,26.1,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2019-01-01,26.6,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
2020-01-01,25.4,SC,"Charleston-North Charleston, SC",Charleston,"All Employees: State Government in Charleston-North Charleston, SC (MSA)",SMU45167009092000001A,Annual,Not Seasonally Adjusted
1990-01-01,14.0,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1991-01-01,13.2,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1992-01-01,13.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1993-01-01,14.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1994-01-01,14.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1995-01-01,14.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1996-01-01,15.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1997-01-01,15.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1998-01-01,16.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1999-01-01,16.3,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2000-01-01,16.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2001-01-01,17.0,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2002-01-01,17.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2003-01-01,17.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2004-01-01,18.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2005-01-01,19.9,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2006-01-01,20.6,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2007-01-01,21.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2008-01-01,22.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2009-01-01,22.2,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2010-01-01,22.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2011-01-01,22.3,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2012-01-01,22.4,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2013-01-01,22.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2014-01-01,22.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2015-01-01,23.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2016-01-01,24.1,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2017-01-01,24.8,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2018-01-01,25.7,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2019-01-01,27.3,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
2020-01-01,25.4,VA,"Charlottesville, VA",Charlottesville,"All Employees: State Government in Charlottesville, VA (MSA)",SMU51168209092000001A,Annual,Not Seasonally Adjusted
1990-01-01,59.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1991-01-01,59.7,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1992-01-01,60.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1993-01-01,61.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1994-01-01,63.8,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1995-01-01,65.1,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1996-01-01,65.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1997-01-01,66.4,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1998-01-01,66.3,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
1999-01-01,64.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"All Employees: State Government in Chicago-Naperville-Elgin, IL-IN-WI (MSA)",SMU17169809092000001A,Annual,Not Seasonally Adjusted
