date,All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,30.942847329219305,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-02-01,31.0535906112214,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-03-01,31.2787951675342,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-04-01,31.097320545984502,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-05-01,31.449779307297803,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-06-01,31.3123289004537,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-07-01,30.8963859053759,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-08-01,31.0267844298659,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-09-01,30.923842606148302,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-10-01,31.0416270791818,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-11-01,31.0523310497016,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1990-12-01,31.225828148509002,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1991-01-01,31.0410498920571,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1991-02-01,30.870534954333703,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1991-03-01,30.8908726253883,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1991-04-01,30.4792834663904,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
1991-05-01,30.4278726402598,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000001SA,Monthly,Seasonally Adjusted
