date,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities",state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,2.79450222398224,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-02-01,2.75759685928813,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-03-01,2.76255519828326,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-04-01,2.76779387580132,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-05-01,2.76606983404244,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-06-01,2.85702816762465,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-07-01,2.66980355560976,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-08-01,2.76349047939671,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-09-01,2.6627428867197795,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
1990-10-01,2.71140456309728,VT,"Burlington-South Burlington, VT",Burlington,"All Employees: Transportation and Utilities: Transportation, Warehousing, and Utilities in Burlington-South Burlington, VT (NECTA)",SMU50724004300000001SA,Monthly,Seasonally Adjusted
