date,All Employees: Transportation and Warehousing,state,msa,city,title,id,frequency,seasonal_adjustment
1990-01-01,26.8,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1991-01-01,27.0,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1992-01-01,27.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1993-01-01,28.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1994-01-01,30.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1995-01-01,30.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1996-01-01,31.9,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1997-01-01,33.4,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1998-01-01,37.2,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
1999-01-01,39.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
2000-01-01,38.5,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
2001-01-01,37.1,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
2002-01-01,37.6,OH,"Cincinnati, OH-KY-IN",Cincinnati,"All Employees: Transportation and Warehousing in Cincinnati, OH-KY-IN (MSA)",SMU39171404340008901A,Annual,Not Seasonally Adjusted
