date,Average Weekly Earnings of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2011-01-01,630.495293793303,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-02-01,628.36237603676,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-03-01,637.343524046064,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-04-01,632.791666093543,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-05-01,599.154185952985,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-06-01,583.887134048451,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-07-01,568.0828877666,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-08-01,562.37997235955,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-09-01,556.0777052043351,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-10-01,567.2679082437551,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-11-01,565.8241214947441,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
2011-12-01,582.987942598638,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Earnings of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000011SA,Monthly,Seasonally Adjusted
