date,Average Weekly Hours of All Employees: Total Private,state,msa,city,title,id,frequency,seasonal_adjustment
2011-01-01,33.6637253173567,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-02-01,33.8415231317355,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-03-01,34.276902397448,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-04-01,33.714891181359604,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-05-01,32.9530649189256,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-06-01,32.1154010389476,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-07-01,31.5264718563907,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-08-01,30.8551922233923,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-09-01,31.336607064480802,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-10-01,32.4067574750338,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-11-01,31.2797160656016,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2011-12-01,30.8743240680585,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-01-01,32.4122889780312,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-02-01,32.2464880661899,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-03-01,31.592468508212,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-04-01,32.0078721279882,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-05-01,32.2069260824047,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-06-01,31.825173906845002,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-07-01,31.8439805780509,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-08-01,32.1454518919312,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-09-01,32.2117596660787,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
2012-10-01,32.7154972948366,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"Average Weekly Hours of All Employees: Total Private in Bloomsburg-Berwick, PA (MSA)",SMU42141000500000002SA,Monthly,Seasonally Adjusted
