date,Housing Inventory: Active Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,4733.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2016-08-01,4720.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2016-09-01,4737.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2016-10-01,4692.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2016-11-01,4576.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2016-12-01,4353.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-01-01,4136.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-02-01,4153.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-03-01,4377.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-04-01,4573.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-05-01,4700.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-06-01,4725.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-07-01,4747.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-08-01,4672.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-09-01,4658.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-10-01,4714.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-11-01,4637.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2017-12-01,4354.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-01-01,4117.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-02-01,4190.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-03-01,4335.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-04-01,4463.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-05-01,4544.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-06-01,4632.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-07-01,4674.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-08-01,4664.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-09-01,4757.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-10-01,4902.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-11-01,4959.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2018-12-01,4684.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
2019-01-01,4514.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Active Listing Count in Charleston-North Charleston, SC (CBSA)",ACTLISCOU16700,Monthly,Not Seasonally Adjusted
