date,Housing Inventory: Average Listing Price Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-1.32,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2017-08-01,0.08,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2017-09-01,-0.56,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2017-10-01,-1.04,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2017-11-01,-0.18,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2017-12-01,1.58,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-01-01,0.02,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-02-01,1.37,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-03-01,2.56,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-04-01,1.62,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-05-01,-0.07,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-06-01,0.05,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-07-01,-1.98,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-08-01,-1.26,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-09-01,-1.87,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-10-01,-1.73,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-11-01,-0.5,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2018-12-01,-0.59,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-01-01,-0.16,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-02-01,2.47,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-03-01,1.59,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-04-01,1.98,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-05-01,0.79,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-06-01,0.6,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-07-01,0.25,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-08-01,-0.22,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-09-01,-1.13,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-10-01,-1.14,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-11-01,1.05,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2019-12-01,0.02,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-01-01,0.83,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-02-01,1.89,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-03-01,1.05,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-04-01,-2.38,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-05-01,3.46,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-06-01,2.63,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-07-01,2.96,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-08-01,3.19,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-09-01,0.42,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-10-01,1.43,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-11-01,2.21,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2020-12-01,2.79,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-01-01,3.26,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-02-01,7.36,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-03-01,4.66,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-04-01,8.64,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-05-01,4.56,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-06-01,-3.75,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-07-01,-8.31,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-08-01,-5.67,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-09-01,-6.91,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-10-01,1.87,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2021-11-01,2.41,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Average Listing Price Month-Over-Month in Charleston-North Charleston, SC (CBSA)",AVELISPRIMM16700,Monthly,Not Seasonally Adjusted
2017-07-01,-1.18,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Average Listing Price Month-Over-Month in Charlottesville, VA (CBSA)",AVELISPRIMM16820,Monthly,Not Seasonally Adjusted
2017-08-01,-4.16,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Average Listing Price Month-Over-Month in Charlottesville, VA (CBSA)",AVELISPRIMM16820,Monthly,Not Seasonally Adjusted
2017-09-01,0.69,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Average Listing Price Month-Over-Month in Charlottesville, VA (CBSA)",AVELISPRIMM16820,Monthly,Not Seasonally Adjusted
2017-10-01,2.64,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Average Listing Price Month-Over-Month in Charlottesville, VA (CBSA)",AVELISPRIMM16820,Monthly,Not Seasonally Adjusted
2017-11-01,-0.65,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Average Listing Price Month-Over-Month in Charlottesville, VA (CBSA)",AVELISPRIMM16820,Monthly,Not Seasonally Adjusted
2017-12-01,-1.38,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Average Listing Price Month-Over-Month in Charlottesville, VA (CBSA)",AVELISPRIMM16820,Monthly,Not Seasonally Adjusted
2018-01-01,1.75,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Average Listing Price Month-Over-Month in Charlottesville, VA (CBSA)",AVELISPRIMM16820,Monthly,Not Seasonally Adjusted
