date,Housing Inventory: Median Listing Price Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,6.75,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2017-08-01,8.78,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2017-09-01,5.35,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2017-10-01,5.26,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2017-11-01,4.18,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2017-12-01,4.47,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-01-01,4.55,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-02-01,2.49,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-03-01,-0.61,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-04-01,0.84,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-05-01,3.37,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-06-01,3.13,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-07-01,2.17,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-08-01,-1.39,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-09-01,0.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-10-01,-0.25,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-11-01,-1.25,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2018-12-01,-2.25,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-01-01,-1.37,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-02-01,-0.39,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-03-01,0.28,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
2019-04-01,1.07,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price Year-Over-Year in Charleston-North Charleston, SC (CBSA)",MEDLISPRIYY16700,Monthly,Not Seasonally Adjusted
