date,Housing Inventory: Median Listing Price per Square Feet Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-0.28,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-08-01,0.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-09-01,-1.07,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-10-01,-0.67,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-11-01,0.62,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2017-12-01,-0.4,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-01-01,-0.36,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-02-01,1.47,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-03-01,2.75,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-04-01,0.45,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
2018-05-01,0.58,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet Month-Over-Month in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEEMM16700,Monthly,Not Seasonally Adjusted
