date,Housing Inventory: Median Listing Price per Square Feet,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,182.4618736,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2016-08-01,180.7817489,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2016-09-01,180.6521093,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2016-10-01,181.6057774,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2016-11-01,181.8278606,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2016-12-01,182.6756497,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-01-01,182.7243877,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-02-01,186.4136244,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-03-01,186.3231049,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-04-01,187.7346683,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-05-01,188.1835963,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-06-01,187.6080046,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-07-01,187.0873074,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-08-01,187.0865108,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-09-01,185.0912779,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-10-01,183.8532938,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-11-01,184.9954946,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2017-12-01,184.2617153,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-01-01,183.6026732,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-02-01,186.2980212,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-03-01,191.4225941,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-04-01,192.2865385,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-05-01,193.395864,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-06-01,192.5010979,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-07-01,192.5439765,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-08-01,191.7214012,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-09-01,192.0341394,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-10-01,193.4660883,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-11-01,193.521661,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2018-12-01,193.4670276,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-01-01,194.1586075,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-02-01,201.3679245,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-03-01,204.6553061,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-04-01,206.8695485,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-05-01,206.7476397,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-06-01,208.6071987,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-07-01,208.2736403,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-08-01,207.3091696,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-09-01,205.4837364,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-10-01,203.9682078,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-11-01,205.8891189,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2019-12-01,205.8974499,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-01-01,207.3378351,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-02-01,211.4245416,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-03-01,215.9744573,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-04-01,211.9072569,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-05-01,216.765453,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-06-01,221.2060029,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-07-01,225.1396278,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-08-01,231.3337588,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-09-01,238.1794222,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-10-01,240.0548697,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-11-01,240.2027666,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2020-12-01,245.1828256,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-01-01,251.3513514,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-02-01,273.7338203,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-03-01,275.3531406,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-04-01,280.585403,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-05-01,293.5294118,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-06-01,283.1566799,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-07-01,265.8951865,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-08-01,255.3197243,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-09-01,240.4415755,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-10-01,247.495,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2021-11-01,242.7185366,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price per Square Feet in Charleston-North Charleston, SC (CBSA)",MEDLISPRIPERSQUFEE16700,Monthly,Not Seasonally Adjusted
2016-07-01,154.3532621,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2016-08-01,157.1636984,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2016-09-01,159.163849,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2016-10-01,160.0378788,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
2016-11-01,159.981986,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: Median Listing Price per Square Feet in Charlottesville, VA (CBSA)",MEDLISPRIPERSQUFEE16820,Monthly,Not Seasonally Adjusted
