date,Housing Inventory: Median Listing Price,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,385000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2016-08-01,381450.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2016-09-01,379695.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2016-10-01,379999.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2016-11-01,383950.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2016-12-01,382900.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-01-01,382297.5,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-02-01,399495.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-03-01,419530.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-04-01,420899.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-05-01,415000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-06-01,411990.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-07-01,411000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-08-01,414945.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-09-01,400000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-10-01,400000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-11-01,400000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2017-12-01,399999.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-01-01,399705.5,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-02-01,409454.5,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-03-01,416990.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-04-01,424440.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-05-01,429000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-06-01,424900.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-07-01,419900.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-08-01,409165.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-09-01,399985.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-10-01,399000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-11-01,395000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2018-12-01,390999.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-01-01,394220.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-02-01,407850.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-03-01,418142.8571,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-04-01,429000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-05-01,431200.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-06-01,434900.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-07-01,434950.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-08-01,430671.4286,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-09-01,421950.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-10-01,416000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-11-01,415000.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2019-12-01,414095.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
2020-01-01,419500.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Median Listing Price in Charleston-North Charleston, SC (CBSA)",MEDLISPRI16700,Monthly,Not Seasonally Adjusted
