date,Housing Inventory: New Listing Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,1400.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2016-08-01,1364.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2016-09-01,1296.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2016-10-01,1140.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2016-11-01,1136.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2016-12-01,816.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-01-01,1260.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-02-01,1468.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-03-01,1760.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-04-01,1608.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-05-01,1532.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-06-01,1488.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-07-01,1460.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-08-01,1280.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-09-01,1260.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-10-01,1396.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-11-01,1196.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2017-12-01,820.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-01-01,1160.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-02-01,1452.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-03-01,1640.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-04-01,1476.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-05-01,1576.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-06-01,1468.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-07-01,1348.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-08-01,1340.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-09-01,1320.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-10-01,1372.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-11-01,1204.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2018-12-01,884.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-01-01,1328.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-02-01,1532.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-03-01,1444.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-04-01,1536.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-05-01,1640.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-06-01,1476.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-07-01,1380.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-08-01,1252.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-09-01,1224.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-10-01,1352.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-11-01,1152.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2019-12-01,848.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-01-01,1216.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-02-01,1368.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-03-01,1548.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-04-01,1060.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-05-01,1304.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-06-01,1316.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-07-01,1292.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-08-01,1176.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-09-01,1216.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-10-01,1064.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-11-01,972.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2020-12-01,756.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-01-01,848.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-02-01,868.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-03-01,924.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-04-01,940.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-05-01,980.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-06-01,1140.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-07-01,1120.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-08-01,1124.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-09-01,1016.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-10-01,936.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2021-11-01,860.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: New Listing Count in Charleston-North Charleston, SC (CBSA)",NEWLISCOU16700,Monthly,Not Seasonally Adjusted
2016-07-01,364.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2016-08-01,300.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2016-09-01,304.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2016-10-01,316.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2016-11-01,212.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2016-12-01,192.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-01-01,288.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-02-01,408.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-03-01,548.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-04-01,556.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-05-01,460.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-06-01,384.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-07-01,332.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-08-01,372.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-09-01,364.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-10-01,352.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-11-01,264.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2017-12-01,164.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-01-01,328.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-02-01,460.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-03-01,592.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-04-01,596.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-05-01,516.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-06-01,384.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-07-01,368.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-08-01,312.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-09-01,400.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-10-01,316.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-11-01,260.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2018-12-01,176.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-01-01,284.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-02-01,400.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-03-01,488.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-04-01,504.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-05-01,480.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-06-01,392.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-07-01,376.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-08-01,408.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-09-01,384.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-10-01,340.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-11-01,312.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2019-12-01,156.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-01-01,276.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-02-01,384.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-03-01,440.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-04-01,312.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-05-01,304.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-06-01,284.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-07-01,360.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-08-01,328.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-09-01,348.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-10-01,316.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-11-01,256.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2020-12-01,176.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-01-01,232.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-02-01,240.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-03-01,384.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-04-01,384.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-05-01,404.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-06-01,348.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-07-01,344.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-08-01,316.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-09-01,332.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-10-01,236.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2021-11-01,204.0,VA,"Charlottesville, VA",Charlottesville,"Housing Inventory: New Listing Count in Charlottesville, VA (CBSA)",NEWLISCOU16820,Monthly,Not Seasonally Adjusted
2016-07-01,16644.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: New Listing Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",NEWLISCOU16980,Monthly,Not Seasonally Adjusted
2016-08-01,15300.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: New Listing Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",NEWLISCOU16980,Monthly,Not Seasonally Adjusted
2016-09-01,15364.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: New Listing Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",NEWLISCOU16980,Monthly,Not Seasonally Adjusted
2016-10-01,13076.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: New Listing Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",NEWLISCOU16980,Monthly,Not Seasonally Adjusted
2016-11-01,10616.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: New Listing Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",NEWLISCOU16980,Monthly,Not Seasonally Adjusted
2016-12-01,6696.0,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,"Housing Inventory: New Listing Count in Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",NEWLISCOU16980,Monthly,Not Seasonally Adjusted
