date,Housing Inventory: Pending Listing Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,-5.94,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-08-01,-7.13,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-09-01,-9.26,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-10-01,-1.09,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-11-01,2.74,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2017-12-01,-9.5,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-01-01,-10.5,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-02-01,22.08,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-03-01,18.2,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-04-01,6.12,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-05-01,2.76,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-06-01,-4.57,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-07-01,-6.67,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-08-01,-10.11,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-09-01,-9.16,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
2018-10-01,-9.62,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Pending Listing Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PENLISCOUMM16700,Monthly,Not Seasonally Adjusted
