date,Housing Inventory: Price Increased Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,18.75,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2017-08-01,-9.26,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2017-09-01,-17.24,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2017-10-01,70.97,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2017-11-01,-44.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2017-12-01,37.84,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2018-01-01,8.22,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2018-02-01,-25.97,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2018-03-01,-1.79,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2018-04-01,1.67,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2018-05-01,0.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2018-06-01,-48.68,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
2018-07-01,-24.56,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIINCCOUYY16700,Monthly,Not Seasonally Adjusted
