date,Housing Inventory: Price Increased Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,192.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2016-08-01,216.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2016-09-01,232.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2016-10-01,124.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2016-11-01,200.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2016-12-01,148.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2017-01-01,292.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2017-02-01,308.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2017-03-01,224.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
2017-04-01,240.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Increased Count in Charleston-North Charleston, SC (CBSA)",PRIINCCOU16700,Monthly,Not Seasonally Adjusted
