date,Housing Inventory: Price Reduced Count Month-Over-Month,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,7.6,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2017-08-01,0.54,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2017-09-01,5.95,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2017-10-01,-2.55,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2017-11-01,-16.23,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2017-12-01,-35.31,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-01-01,2.9,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-02-01,43.19,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-03-01,4.59,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-04-01,15.67,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-05-01,3.52,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-06-01,3.93,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-07-01,13.1,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-08-01,-8.02,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-09-01,-3.63,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-10-01,10.8,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-11-01,-4.54,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2018-12-01,-21.62,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2019-01-01,-5.45,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2019-02-01,7.05,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2019-03-01,19.46,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
2019-04-01,14.04,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Month-Over-Month in Charleston-North Charleston, SC (CBSA)",PRIREDCOUMM16700,Monthly,Not Seasonally Adjusted
