date,Housing Inventory: Price Reduced Count Year-Over-Year,state,msa,city,title,id,frequency,seasonal_adjustment
2017-07-01,7.92,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2017-08-01,5.11,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2017-09-01,17.37,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2017-10-01,16.82,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2017-11-01,5.61,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2017-12-01,13.74,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-01-01,-6.99,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-02-01,25.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-03-01,11.15,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-04-01,19.03,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-05-01,5.23,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-06-01,16.08,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-07-01,22.01,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-08-01,11.62,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-09-01,1.53,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-10-01,15.45,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-11-01,31.56,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2018-12-01,59.42,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-01-01,46.48,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-02-01,9.51,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-03-01,25.08,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
2019-04-01,23.31,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count Year-Over-Year in Charleston-North Charleston, SC (CBSA)",PRIREDCOUYY16700,Monthly,Not Seasonally Adjusted
