date,Housing Inventory: Price Reduced Count,state,msa,city,title,id,frequency,seasonal_adjustment
2016-07-01,1364.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2016-08-01,1408.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2016-09-01,1336.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2016-10-01,1308.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2016-11-01,1212.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2016-12-01,728.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2017-01-01,916.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2017-02-01,976.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2017-03-01,1148.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2017-04-01,1240.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
2017-05-01,1452.0,SC,"Charleston-North Charleston, SC",Charleston,"Housing Inventory: Price Reduced Count in Charleston-North Charleston, SC (CBSA)",PRIREDCOU16700,Monthly,Not Seasonally Adjusted
